航班ID,日期,国际/国内,航班号,起飞机场,降落机场,起飞时间,降落时间,飞机ID,机型,旅客数,联程旅客数,座位数,重要系数
588,2017/5/8,国内,104,25,50,2017/5/8 11:35,2017/5/8 14:35,26,3,141,0,157,1.0 
589,2017/5/5,国内,113,27,49,2017/5/5 20:35,2017/5/5 23:20,8,2,125,0,161,1.0 
590,2017/5/8,国际,108,2,49,2017/5/8 19:00,2017/5/9 6:10,24,4,171,0,213,2.0 
591,2017/5/6,国际,108,2,49,2017/5/6 18:35,2017/5/7 6:10,23,4,185,0,213,2.0 
592,2017/5/5,国内,101,61,25,2017/5/5 13:15,2017/5/5 16:15,52,2,93,0,161,1.0 
593,2017/5/6,国内,101,61,25,2017/5/6 13:15,2017/5/6 16:15,63,2,111,0,161,1.0 
594,2017/5/7,国内,101,61,25,2017/5/7 13:15,2017/5/7 16:15,86,2,66,0,155,1.0 
595,2017/5/8,国内,101,61,25,2017/5/8 13:15,2017/5/8 16:15,89,2,134,0,155,1.0 
596,2017/5/5,国内,105,49,25,2017/5/5 7:00,2017/5/5 9:50,20,4,107,0,213,1.0 
597,2017/5/6,国内,105,49,25,2017/5/6 7:00,2017/5/6 9:50,28,3,132,0,163,1.0 
598,2017/5/8,国内,105,49,25,2017/5/8 7:00,2017/5/8 9:50,2,4,133,0,255,1.0 
599,2017/5/7,国内,109,25,50,2017/5/7 21:25,2017/5/8 0:10,3,4,116,0,255,1.0 
600,2017/5/5,国内,109,25,50,2017/5/5 21:25,2017/5/6 0:10,27,3,111,0,157,1.0 
601,2017/5/8,国内,109,25,50,2017/5/8 21:25,2017/5/9 0:10,20,4,36,0,213,1.0 
602,2017/5/5,国内,123,41,49,2017/5/5 13:55,2017/5/5 15:45,63,2,103,42,161,1.0 
603,2017/5/7,国内,123,41,49,2017/5/7 13:55,2017/5/7 15:45,137,2,93,52,183,1.0 
604,2017/5/8,国内,123,41,49,2017/5/8 13:55,2017/5/8 15:45,76,2,44,58,161,1.0 
605,2017/5/5,国内,121,32,50,2017/5/5 19:50,2017/5/5 21:20,12,2,102,53,161,1.0 
606,2017/5/5,国内,120,50,32,2017/5/5 11:45,2017/5/5 13:15,12,2,80,69,161,1.0 
607,2017/5/5,国内,128,52,25,2017/5/5 18:00,2017/5/5 20:20,11,2,143,0,161,1.0 
608,2017/5/7,国内,120,50,32,2017/5/7 11:45,2017/5/7 13:15,126,2,98,41,183,1.0 
609,2017/5/8,国内,120,50,32,2017/5/8 11:45,2017/5/8 13:15,98,2,83,50,161,1.0 
610,2017/5/6,国际,129,49,8,2017/5/6 8:50,2017/5/6 12:45,35,2,141,0,161,1.5 
611,2017/5/7,国际,129,49,8,2017/5/7 8:50,2017/5/7 12:45,64,2,149,0,161,1.5 
612,2017/5/5,国内,126,32,25,2017/5/5 18:50,2017/5/5 21:05,84,2,143,0,161,1.0 
613,2017/5/6,国内,126,32,25,2017/5/6 18:50,2017/5/6 21:05,84,2,91,0,161,1.0 
614,2017/5/7,国内,126,32,25,2017/5/7 18:50,2017/5/7 21:05,9,2,125,0,161,1.0 
615,2017/5/8,国内,126,32,25,2017/5/8 18:50,2017/5/8 21:05,38,2,53,0,161,1.0 
616,2017/5/5,国内,120,32,30,2017/5/5 14:15,2017/5/5 16:15,12,2,90,69,161,1.0 
617,2017/5/7,国内,120,32,30,2017/5/7 14:15,2017/5/7 16:15,126,2,78,41,183,1.0 
618,2017/5/8,国内,120,32,30,2017/5/8 14:15,2017/5/8 16:15,98,2,56,50,161,1.0 
619,2017/5/5,国内,123,49,27,2017/5/5 16:45,2017/5/5 19:40,63,2,88,42,161,1.0 
620,2017/5/7,国内,123,49,27,2017/5/7 16:45,2017/5/7 19:40,137,2,72,52,183,1.0 
621,2017/5/8,国内,123,49,27,2017/5/8 16:45,2017/5/8 19:40,76,2,66,58,161,1.0 
622,2017/5/7,国内,127,25,32,2017/5/7 22:10,2017/5/8 0:45,9,2,39,0,161,1.0 
623,2017/5/5,国内,127,25,32,2017/5/5 22:10,2017/5/6 0:45,84,2,102,0,161,1.0 
624,2017/5/6,国内,127,25,32,2017/5/6 22:10,2017/5/7 0:45,84,2,49,0,161,1.0 
625,2017/5/8,国内,127,25,32,2017/5/8 22:10,2017/5/9 0:45,38,2,34,0,161,1.0 
626,2017/5/7,国内,121,30,32,2017/5/7 17:05,2017/5/7 18:50,126,2,59,72,183,1.0 
627,2017/5/5,国内,122,27,49,2017/5/5 7:25,2017/5/5 10:15,63,2,53,66,161,1.0 
628,2017/5/7,国内,122,27,49,2017/5/7 7:25,2017/5/7 10:15,137,2,51,35,183,1.0 
629,2017/5/8,国内,122,27,49,2017/5/8 7:25,2017/5/8 10:15,76,2,38,52,161,1.0 
630,2017/5/5,国内,124,36,25,2017/5/5 19:40,2017/5/5 23:05,25,4,175,0,213,1.0 
631,2017/5/6,国内,124,36,25,2017/5/6 19:40,2017/5/6 23:05,21,4,121,0,213,1.0 
632,2017/5/7,国内,124,36,25,2017/5/7 19:40,2017/5/7 23:05,23,4,118,0,213,1.0 
633,2017/5/8,国内,124,36,25,2017/5/8 19:40,2017/5/8 23:05,25,4,64,0,213,1.0 
634,2017/5/7,国内,121,32,50,2017/5/7 19:50,2017/5/7 21:20,126,2,53,72,183,1.0 
635,2017/5/6,国内,128,52,25,2017/5/6 18:00,2017/5/6 20:20,88,2,72,0,155,1.0 
636,2017/5/7,国内,128,52,25,2017/5/7 18:00,2017/5/7 20:20,61,2,64,0,161,1.0 
637,2017/5/8,国内,128,52,25,2017/5/8 18:00,2017/5/8 20:20,60,2,66,0,161,1.0 
638,2017/5/8,国内,121,30,32,2017/5/8 17:05,2017/5/8 18:50,98,2,37,64,161,1.0 
639,2017/5/5,国内,122,49,41,2017/5/5 11:15,2017/5/5 13:05,63,2,77,66,161,1.0 
640,2017/5/7,国内,122,49,41,2017/5/7 11:15,2017/5/7 13:05,137,2,46,35,183,1.0 
641,2017/5/8,国内,122,49,41,2017/5/8 11:15,2017/5/8 13:05,76,2,43,52,161,1.0 
642,2017/5/8,国内,121,32,50,2017/5/8 19:50,2017/5/8 21:20,98,2,23,64,161,1.0 
643,2017/5/5,国内,125,25,36,2017/5/5 15:20,2017/5/5 18:40,25,4,213,0,213,1.0 
644,2017/5/6,国内,125,25,36,2017/5/6 15:20,2017/5/6 18:40,21,4,170,0,213,1.0 
645,2017/5/7,国内,125,25,36,2017/5/7 15:20,2017/5/7 18:40,23,4,123,0,213,1.0 
646,2017/5/8,国内,125,25,36,2017/5/8 15:20,2017/5/8 18:40,25,4,108,0,213,1.0 
647,2017/5/5,国内,115,25,49,2017/5/5 14:10,2017/5/5 16:00,23,4,206,0,213,1.0 
648,2017/5/6,国内,115,25,49,2017/5/6 13:05,2017/5/6 16:00,20,4,95,0,213,1.0 
649,2017/5/5,国内,121,30,32,2017/5/5 17:05,2017/5/5 18:50,12,2,91,53,161,1.0 
650,2017/5/7,国内,138,32,49,2017/5/7 18:35,2017/5/7 20:15,67,2,96,29,161,1.0 
651,2017/5/5,国内,138,30,32,2017/5/5 16:00,2017/5/5 17:45,77,2,92,21,155,1.0 
652,2017/5/5,国内,138,32,49,2017/5/5 18:35,2017/5/5 20:15,77,2,120,21,155,1.0 
653,2017/5/7,国内,132,30,49,2017/5/7 19:25,2017/5/7 22:05,131,2,109,0,183,1.0 
654,2017/5/5,国内,139,49,66,2017/5/5 17:35,2017/5/5 19:00,9,2,127,39,161,1.0 
655,2017/5/6,国内,139,49,66,2017/5/6 17:35,2017/5/6 19:00,109,2,109,10,161,1.0 
656,2017/5/7,国内,139,49,66,2017/5/7 17:35,2017/5/7 19:00,106,2,87,44,161,1.0 
657,2017/5/8,国内,139,49,66,2017/5/8 17:35,2017/5/8 19:00,117,2,67,45,161,1.0 
658,2017/5/5,国内,132,30,49,2017/5/5 19:25,2017/5/5 22:05,5,2,161,0,183,1.0 
659,2017/5/6,国内,132,30,49,2017/5/6 19:25,2017/5/6 22:05,81,2,131,0,161,1.0 
660,2017/5/5,国内,134,52,49,2017/5/5 16:05,2017/5/5 17:35,28,3,137,37,163,1.0 
661,2017/5/6,国内,134,52,49,2017/5/6 16:05,2017/5/6 17:35,48,2,69,38,161,1.0 
662,2017/5/7,国内,134,52,49,2017/5/7 16:05,2017/5/7 17:35,103,2,65,98,161,1.0 
663,2017/5/8,国内,134,52,49,2017/5/8 16:05,2017/5/8 17:35,18,2,47,42,161,1.0 
664,2017/5/5,国内,141,66,49,2017/5/5 10:35,2017/5/5 12:10,73,2,71,0,161,1.0 
665,2017/5/6,国内,141,66,49,2017/5/6 10:35,2017/5/6 12:10,9,2,70,14,161,1.0 
666,2017/5/7,国内,141,66,49,2017/5/7 10:35,2017/5/7 12:10,63,2,155,0,161,1.0 
667,2017/5/8,国内,141,66,49,2017/5/8 10:35,2017/5/8 12:10,84,2,107,2,161,1.0 
668,2017/5/5,国内,133,49,52,2017/5/5 7:30,2017/5/5 8:55,28,3,95,32,163,1.0 
669,2017/5/6,国内,133,49,52,2017/5/6 7:30,2017/5/6 8:55,48,2,91,17,161,1.0 
670,2017/5/7,国内,133,49,52,2017/5/7 7:30,2017/5/7 8:55,103,2,65,21,161,1.0 
671,2017/5/8,国内,133,49,52,2017/5/8 7:30,2017/5/8 8:55,18,2,58,24,161,1.0 
672,2017/5/5,国内,139,66,25,2017/5/5 20:00,2017/5/5 22:25,9,2,49,39,161,1.0 
673,2017/5/6,国内,139,66,25,2017/5/6 20:00,2017/5/6 22:25,109,2,59,10,161,1.0 
674,2017/5/7,国内,139,66,25,2017/5/7 20:00,2017/5/7 22:25,106,2,57,44,161,1.0 
675,2017/5/8,国内,139,66,25,2017/5/8 20:00,2017/5/8 22:25,117,2,29,45,161,1.0 
676,2017/5/5,国内,137,49,32,2017/5/5 9:40,2017/5/5 11:30,77,2,124,37,155,1.0 
677,2017/5/6,国内,137,49,32,2017/5/6 9:40,2017/5/6 11:30,106,2,107,21,161,1.0 
678,2017/5/7,国内,137,49,32,2017/5/7 9:40,2017/5/7 11:30,67,2,70,70,161,1.0 
679,2017/5/8,国内,137,49,32,2017/5/8 9:40,2017/5/8 11:30,71,2,33,83,161,1.0 
680,2017/5/5,国内,130,25,52,2017/5/5 21:35,2017/5/5 23:45,11,2,133,0,161,1.0 
681,2017/5/6,国内,130,25,52,2017/5/6 21:35,2017/5/6 23:45,88,2,81,0,155,1.0 
682,2017/5/7,国内,130,25,52,2017/5/7 21:35,2017/5/7 23:45,61,2,45,0,161,1.0 
683,2017/5/8,国内,130,25,52,2017/5/8 21:35,2017/5/8 23:45,60,2,16,0,161,1.0 
684,2017/5/5,国内,133,52,30,2017/5/5 9:55,2017/5/5 12:05,28,3,75,32,163,1.0 
685,2017/5/6,国内,133,52,30,2017/5/6 9:55,2017/5/6 12:05,48,2,91,17,161,1.0 
686,2017/5/7,国内,133,52,30,2017/5/7 9:55,2017/5/7 12:05,103,2,59,21,161,1.0 
687,2017/5/8,国内,133,52,30,2017/5/8 9:55,2017/5/8 12:05,18,2,82,24,161,1.0 
688,2017/5/6,国际,140,8,49,2017/5/6 13:55,2017/5/6 18:05,35,2,69,0,161,1.5 
689,2017/5/7,国际,140,8,49,2017/5/7 13:55,2017/5/7 18:05,64,2,114,0,161,1.5 
690,2017/5/5,国内,137,32,30,2017/5/5 12:50,2017/5/5 14:50,77,2,99,37,155,1.0 
691,2017/5/6,国内,137,32,30,2017/5/6 12:50,2017/5/6 14:50,106,2,66,21,161,1.0 
692,2017/5/7,国内,137,32,30,2017/5/7 12:50,2017/5/7 14:50,67,2,42,70,161,1.0 
693,2017/5/8,国内,137,32,30,2017/5/8 12:50,2017/5/8 14:50,71,2,42,83,161,1.0 
694,2017/5/6,国内,141,25,66,2017/5/6 6:50,2017/5/6 9:25,9,2,74,14,161,1.0 
695,2017/5/7,国内,141,25,66,2017/5/7 6:50,2017/5/7 9:25,63,2,40,0,161,1.0 
696,2017/5/8,国内,141,25,66,2017/5/8 6:50,2017/5/8 9:25,84,2,49,2,161,1.0 
697,2017/5/6,国内,138,30,32,2017/5/6 15:55,2017/5/6 17:45,106,2,91,9,161,1.0 
698,2017/5/8,国内,138,30,32,2017/5/8 16:00,2017/5/8 17:45,71,2,52,42,161,1.0 
699,2017/5/5,国内,131,49,30,2017/5/5 15:45,2017/5/5 18:35,5,2,154,0,183,1.0 
700,2017/5/6,国内,131,49,30,2017/5/6 15:45,2017/5/6 18:35,81,2,118,0,161,1.0 
701,2017/5/7,国内,131,49,30,2017/5/7 15:45,2017/5/7 18:35,131,2,89,0,183,1.0 
702,2017/5/5,国内,134,30,52,2017/5/5 13:05,2017/5/5 15:05,28,3,111,37,163,1.0 
703,2017/5/6,国内,134,30,52,2017/5/6 13:05,2017/5/6 15:05,48,2,97,38,161,1.0 
704,2017/5/7,国内,134,30,52,2017/5/7 13:05,2017/5/7 15:05,103,2,52,98,161,1.0 
705,2017/5/8,国内,134,30,52,2017/5/8 13:05,2017/5/8 15:05,18,2,96,42,161,1.0 
706,2017/5/7,国内,138,30,32,2017/5/7 16:00,2017/5/7 17:45,67,2,91,29,161,1.0 
707,2017/5/6,国内,138,32,49,2017/5/6 18:35,2017/5/6 20:15,106,2,65,9,161,1.0 
708,2017/5/8,国内,138,32,49,2017/5/8 18:35,2017/5/8 20:15,71,2,74,42,161,1.0 
709,2017/5/6,国内,150,25,49,2017/5/6 20:05,2017/5/6 23:15,26,3,84,0,157,1.0 
710,2017/5/5,国内,142,50,30,2017/5/5 8:25,2017/5/5 11:00,98,2,110,0,161,1.0 
711,2017/5/6,国内,142,50,30,2017/5/6 8:25,2017/5/6 11:00,71,2,115,0,161,1.0 
712,2017/5/7,国内,142,50,30,2017/5/7 8:25,2017/5/7 11:00,76,2,129,0,161,1.0 
713,2017/5/8,国内,142,50,30,2017/5/8 8:25,2017/5/8 11:00,68,2,84,0,161,1.0 
714,2017/5/5,国内,146,50,25,2017/5/5 21:00,2017/5/6 0:05,98,2,116,0,161,1.0 
715,2017/5/6,国内,146,50,25,2017/5/6 21:00,2017/5/7 0:05,33,1,58,0,119,1.0 
716,2017/5/7,国内,146,50,25,2017/5/7 21:00,2017/5/8 0:05,114,2,108,0,161,1.0 
717,2017/5/8,国内,146,50,25,2017/5/8 21:00,2017/5/9 0:05,33,1,80,0,119,1.0 
718,2017/5/5,国内,157,62,25,2017/5/5 11:55,2017/5/5 13:05,23,4,183,0,213,1.0 
719,2017/5/6,国内,157,62,25,2017/5/6 11:55,2017/5/6 14:10,25,4,167,0,213,1.0 
720,2017/5/7,国内,157,62,25,2017/5/7 11:55,2017/5/7 14:10,21,4,127,0,213,1.0 
721,2017/5/8,国内,157,62,25,2017/5/8 11:55,2017/5/8 14:10,23,4,84,0,213,1.0 
722,2017/5/5,国内,143,30,50,2017/5/5 11:45,2017/5/5 14:20,98,2,145,0,161,1.0 
723,2017/5/7,国内,143,30,50,2017/5/7 11:45,2017/5/7 14:20,76,2,113,0,161,1.0 
724,2017/5/8,国内,143,30,50,2017/5/8 11:45,2017/5/8 14:20,68,2,120,0,161,1.0 
725,2017/5/5,国内,150,25,49,2017/5/5 20:05,2017/5/5 23:15,29,3,91,0,163,1.0 
726,2017/5/5,国内,147,25,50,2017/5/5 6:40,2017/5/5 9:40,74,2,110,0,161,1.0 
727,2017/5/6,国内,147,25,50,2017/5/6 6:40,2017/5/6 9:40,98,2,147,0,161,1.0 
728,2017/5/7,国内,147,25,50,2017/5/7 6:40,2017/5/7 9:40,33,1,66,0,119,1.0 
729,2017/5/8,国内,147,25,50,2017/5/8 6:40,2017/5/8 9:40,114,2,54,0,161,1.0 
730,2017/5/7,国内,151,50,25,2017/5/7 14:30,2017/5/7 17:15,28,3,54,0,163,1.0 
731,2017/5/6,国内,143,30,50,2017/5/6 11:45,2017/5/6 14:20,71,2,132,0,161,1.0 
732,2017/5/6,国内,151,50,25,2017/5/6 14:30,2017/5/6 17:15,98,2,33,0,161,1.0 
733,2017/5/8,国内,151,50,25,2017/5/8 14:30,2017/5/8 17:15,17,2,54,0,161,1.0 
734,2017/5/6,国内,144,50,25,2017/5/6 10:00,2017/5/6 12:50,2,4,104,0,255,1.0 
735,2017/5/7,国内,144,50,25,2017/5/7 10:00,2017/5/7 12:50,27,3,56,0,157,1.0 
736,2017/5/5,国内,151,50,25,2017/5/5 14:30,2017/5/5 17:15,2,4,135,0,255,1.0 
737,2017/5/7,国内,148,49,25,2017/5/7 17:00,2017/5/7 20:05,3,4,95,0,255,1.0 
738,2017/5/8,国内,148,49,25,2017/5/8 17:00,2017/5/8 20:05,20,4,68,0,213,1.0 
739,2017/5/8,国内,152,25,50,2017/5/8 18:55,2017/5/8 21:45,2,4,39,0,255,1.0 
740,2017/5/5,国内,144,50,25,2017/5/5 10:00,2017/5/5 12:50,89,2,155,0,155,1.0 
741,2017/5/8,国内,144,50,25,2017/5/8 10:00,2017/5/8 12:50,27,3,86,0,157,1.0 
742,2017/5/6,国内,148,49,25,2017/5/6 17:00,2017/5/6 20:05,28,3,118,0,163,1.0 
743,2017/5/7,国内,152,25,50,2017/5/7 18:55,2017/5/7 21:45,26,3,58,0,157,1.0 
744,2017/5/5,国内,148,49,25,2017/5/5 17:00,2017/5/5 20:05,27,3,123,0,157,1.0 
745,2017/5/7,国内,145,25,50,2017/5/7 13:50,2017/5/7 16:40,27,3,108,0,157,1.0 
746,2017/5/6,国内,152,25,50,2017/5/6 18:55,2017/5/6 21:45,98,2,68,0,161,1.0 
747,2017/5/5,国内,152,25,50,2017/5/5 18:55,2017/5/5 21:45,2,4,120,0,255,1.0 
748,2017/5/8,国内,145,25,50,2017/5/8 13:50,2017/5/8 16:40,27,3,53,0,157,1.0 
749,2017/5/5,国际,149,61,11,2017/5/5 8:30,2017/5/5 11:00,96,2,100,0,161,1.5 
750,2017/5/8,国际,149,61,11,2017/5/8 8:30,2017/5/8 11:00,87,2,66,0,155,1.5 
751,2017/5/5,国内,145,25,50,2017/5/5 13:50,2017/5/5 16:40,89,2,155,0,155,1.0 
752,2017/5/7,国内,150,25,49,2017/5/7 20:05,2017/5/7 23:15,2,4,97,0,255,1.0 
753,2017/5/6,国内,145,25,50,2017/5/6 13:50,2017/5/6 16:40,2,4,255,0,255,1.0 
754,2017/5/8,国内,150,25,49,2017/5/8 20:05,2017/5/8 23:15,26,3,62,0,157,1.0 
755,2017/5/6,国内,163,26,32,2017/5/6 13:25,2017/5/6 15:45,47,2,102,30,161,1.0 
756,2017/5/6,国内,163,32,50,2017/5/6 16:40,2017/5/6 18:05,47,2,135,30,161,1.0 
757,2017/5/5,国际,169,11,49,2017/5/5 21:20,2017/5/5 23:35,90,2,125,0,155,1.5 
758,2017/5/8,国际,169,11,49,2017/5/8 21:20,2017/5/8 23:35,90,2,66,0,155,1.5 
759,2017/5/5,国内,162,50,32,2017/5/5 7:50,2017/5/5 9:15,141,2,126,18,183,1.0 
760,2017/5/7,国内,162,50,32,2017/5/7 7:50,2017/5/7 9:15,134,2,120,9,183,1.0 
761,2017/5/8,国内,162,50,32,2017/5/8 7:50,2017/5/8 9:15,136,2,119,7,183,1.0 
762,2017/5/7,国际,169,11,49,2017/5/7 21:20,2017/5/7 23:35,18,2,107,0,161,1.5 
763,2017/5/6,国际,169,11,49,2017/5/6 21:20,2017/5/6 23:35,103,2,133,0,161,1.5 
764,2017/5/5,国内,175,49,37,2017/5/5 8:10,2017/5/5 10:20,126,2,85,25,183,1.0 
765,2017/5/6,国内,175,49,37,2017/5/6 8:10,2017/5/6 10:20,124,2,98,41,183,1.0 
766,2017/5/7,国内,175,49,37,2017/5/7 8:10,2017/5/7 10:20,77,2,32,51,155,1.0 
767,2017/5/8,国内,175,49,37,2017/5/8 8:10,2017/5/8 10:20,121,2,81,27,183,1.0 
768,2017/5/5,国内,160,52,26,2017/5/5 12:25,2017/5/5 15:05,124,2,91,5,183,1.0 
769,2017/5/6,国内,160,52,26,2017/5/6 12:25,2017/5/6 15:05,130,2,69,55,183,1.0 
770,2017/5/5,国内,162,32,26,2017/5/5 10:15,2017/5/5 12:40,141,2,150,18,183,1.0 
771,2017/5/7,国内,162,32,26,2017/5/7 10:15,2017/5/7 12:40,134,2,128,9,183,1.0 
772,2017/5/8,国内,162,32,26,2017/5/8 10:15,2017/5/8 12:40,136,2,139,7,183,1.0 
773,2017/5/7,国内,160,52,26,2017/5/7 12:25,2017/5/7 15:05,141,2,60,38,183,1.0 
774,2017/5/8,国内,160,52,26,2017/5/8 12:25,2017/5/8 15:05,141,2,85,37,183,1.0 
775,2017/5/5,国内,173,49,46,2017/5/5 16:30,2017/5/5 19:15,42,1,119,0,119,1.0 
776,2017/5/6,国内,173,49,46,2017/5/6 16:30,2017/5/6 19:15,30,1,75,0,119,1.0 
777,2017/5/7,国内,173,49,46,2017/5/7 16:30,2017/5/7 19:15,43,1,78,0,119,1.0 
778,2017/5/8,国内,173,49,46,2017/5/8 16:30,2017/5/8 19:15,77,2,58,0,155,1.0 
779,2017/5/6,国内,162,50,32,2017/5/6 7:50,2017/5/6 9:15,142,2,142,2,183,1.0 
780,2017/5/5,国内,175,37,44,2017/5/5 11:20,2017/5/5 13:10,126,2,126,25,183,1.0 
781,2017/5/6,国内,175,37,44,2017/5/6 11:20,2017/5/6 13:10,124,2,113,41,183,1.0 
782,2017/5/7,国内,175,37,44,2017/5/7 11:20,2017/5/7 13:10,77,2,70,51,155,1.0 
783,2017/5/8,国内,175,37,44,2017/5/8 11:20,2017/5/8 13:10,121,2,51,27,183,1.0 
784,2017/5/5,国内,161,26,52,2017/5/5 15:55,2017/5/5 18:20,124,2,160,5,183,1.0 
785,2017/5/7,国内,161,26,52,2017/5/7 15:55,2017/5/7 18:20,141,2,64,77,183,1.0 
786,2017/5/8,国内,161,26,52,2017/5/8 15:55,2017/5/8 18:20,141,2,77,26,183,1.0 
787,2017/5/6,国内,162,32,26,2017/5/6 10:15,2017/5/6 12:40,142,2,112,2,183,1.0 
788,2017/5/5,国内,158,25,62,2017/5/5 8:35,2017/5/5 10:55,23,4,212,0,213,1.0 
789,2017/5/6,国内,158,25,62,2017/5/6 8:35,2017/5/6 10:55,25,4,180,0,213,1.0 
790,2017/5/7,国内,158,25,62,2017/5/7 8:35,2017/5/7 10:55,21,4,103,0,213,1.0 
791,2017/5/7,国内,163,26,32,2017/5/7 13:25,2017/5/7 15:45,5,2,116,16,183,1.0 
792,2017/5/6,国内,174,46,49,2017/5/6 20:15,2017/5/6 23:05,30,1,104,0,119,1.0 
793,2017/5/7,国内,174,46,49,2017/5/7 20:15,2017/5/7 23:05,43,1,90,0,119,1.0 
794,2017/5/8,国内,158,25,62,2017/5/8 8:35,2017/5/8 10:55,23,4,89,0,213,1.0 
795,2017/5/5,国内,161,52,49,2017/5/5 19:30,2017/5/5 21:05,124,2,144,5,183,1.0 
796,2017/5/7,国内,161,52,49,2017/5/7 19:30,2017/5/7 21:05,141,2,69,77,183,1.0 
797,2017/5/8,国内,161,52,49,2017/5/8 19:30,2017/5/8 21:05,141,2,61,26,183,1.0 
798,2017/5/7,国内,163,32,50,2017/5/7 16:40,2017/5/7 18:05,5,2,117,16,183,1.0 
799,2017/5/5,国内,174,46,49,2017/5/5 20:15,2017/5/5 23:05,42,1,118,0,119,1.0 
800,2017/5/8,国内,163,26,32,2017/5/8 13:25,2017/5/8 15:45,124,2,114,17,183,1.0 
801,2017/5/8,国内,163,32,50,2017/5/8 16:40,2017/5/8 18:05,124,2,72,17,183,1.0 
802,2017/5/8,国内,174,46,49,2017/5/8 20:15,2017/5/8 23:05,77,2,75,0,155,1.0 
803,2017/5/6,国内,161,26,52,2017/5/6 15:55,2017/5/6 18:20,130,2,93,46,183,1.0 
804,2017/5/5,国际,164,49,11,2017/5/5 17:50,2017/5/5 20:20,90,2,109,0,155,1.5 
805,2017/5/6,国际,164,49,11,2017/5/6 17:50,2017/5/6 20:20,103,2,102,0,161,1.5 
806,2017/5/7,国际,164,49,11,2017/5/7 17:50,2017/5/7 20:20,18,2,101,0,161,1.5 
807,2017/5/8,国际,164,49,11,2017/5/8 17:50,2017/5/8 20:20,90,2,92,0,155,1.5 
808,2017/5/5,国际,159,11,61,2017/5/5 11:55,2017/5/5 14:25,96,2,117,0,161,1.5 
809,2017/5/8,国际,159,11,61,2017/5/8 11:55,2017/5/8 14:25,87,2,127,0,155,1.5 
810,2017/5/6,国内,161,52,49,2017/5/6 19:30,2017/5/6 21:05,130,2,86,46,183,1.0 
811,2017/5/5,国内,163,26,32,2017/5/5 13:25,2017/5/5 15:45,136,2,144,20,183,1.0 
812,2017/5/5,国内,163,32,50,2017/5/5 16:40,2017/5/5 18:05,136,2,163,20,183,1.0 
813,2017/5/5,国内,160,49,52,2017/5/5 9:50,2017/5/5 11:25,124,2,119,5,183,1.0 
814,2017/5/6,国内,160,49,52,2017/5/6 9:50,2017/5/6 11:25,130,2,74,55,183,1.0 
815,2017/5/7,国内,160,49,52,2017/5/7 9:50,2017/5/7 11:25,141,2,67,38,183,1.0 
816,2017/5/8,国内,160,49,52,2017/5/8 9:50,2017/5/8 11:25,141,2,51,37,183,1.0 
817,2017/5/5,国内,190,45,37,2017/5/5 17:55,2017/5/5 19:45,35,2,126,18,161,1.0 
818,2017/5/7,国内,190,45,37,2017/5/7 17:55,2017/5/7 19:45,54,2,42,40,161,1.0 
819,2017/5/5,国内,178,46,43,2017/5/5 11:45,2017/5/5 12:55,94,2,132,1,161,1.0 
820,2017/5/6,国内,178,46,43,2017/5/6 11:45,2017/5/6 12:55,135,2,134,23,183,1.0 
821,2017/5/7,国内,178,46,43,2017/5/7 11:45,2017/5/7 12:55,114,2,81,38,161,1.0 
822,2017/5/8,国内,178,46,43,2017/5/8 11:45,2017/5/8 12:55,63,2,86,32,161,1.0 
823,2017/5/5,国内,190,37,49,2017/5/5 20:45,2017/5/5 23:00,35,2,132,18,161,1.0 
824,2017/5/7,国内,190,37,49,2017/5/7 20:45,2017/5/7 23:00,54,2,54,40,161,1.0 
825,2017/5/6,国际,176,50,20,2017/5/6 17:55,2017/5/6 23:30,12,2,142,0,161,1.5 
826,2017/5/5,国内,196,38,43,2017/5/5 13:55,2017/5/5 16:05,36,2,77,9,161,1.0 
827,2017/5/6,国内,196,38,43,2017/5/6 13:55,2017/5/6 16:05,41,1,68,21,119,1.0 
828,2017/5/7,国内,196,38,43,2017/5/7 13:55,2017/5/7 16:05,35,2,67,47,161,1.0 
829,2017/5/8,国内,196,38,43,2017/5/8 13:55,2017/5/8 16:05,86,2,78,11,155,1.0 
830,2017/5/8,国内,190,45,37,2017/5/8 17:55,2017/5/8 19:45,64,2,44,36,161,1.0 
831,2017/5/8,国内,190,37,49,2017/5/8 20:45,2017/5/8 23:00,64,2,69,36,161,1.0 
832,2017/5/7,国内,177,44,37,2017/5/7 14:00,2017/5/7 15:40,77,2,79,27,155,1.0 
833,2017/5/7,国内,177,37,49,2017/5/7 16:50,2017/5/7 19:05,77,2,69,27,155,1.0 
834,2017/5/6,国内,179,43,46,2017/5/6 13:40,2017/5/6 14:50,135,2,137,18,183,1.0 
835,2017/5/7,国内,179,43,46,2017/5/7 13:40,2017/5/7 14:50,114,2,107,52,161,1.0 
836,2017/5/8,国内,179,43,46,2017/5/8 13:40,2017/5/8 14:50,63,2,99,9,161,1.0 
837,2017/5/5,国际,186,20,50,2017/5/5 8:25,2017/5/5 13:40,135,2,81,0,183,1.5 
838,2017/5/8,国际,186,20,50,2017/5/8 8:25,2017/5/8 13:40,15,2,73,0,161,1.5 
839,2017/5/5,国内,177,44,37,2017/5/5 14:00,2017/5/5 15:40,126,2,119,50,183,1.0 
840,2017/5/8,国内,177,44,37,2017/5/8 14:00,2017/5/8 15:40,121,2,87,21,183,1.0 
